0000.000 (0) Opened log file at time: Sun, 23 Nov 2025 08:14:35 +0000 on http://localhost/9shop
0000.022 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.25.9 WP: 6.8.3 PHP: 8.2.12 (apache2handler, Windows NT LAPTOP-4HEJD7DA 10.0 build 26200 (Windows 11) AMD64) MySQL: 10.4.32-MariaDB (max packet size=1048576) WPLANG: en_US Server: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12 safe_mode: 0 max_execution_time: 900 memory_limit: 512M (used: 141.2M | 146M) multisite: N openssl: OpenSSL 3.0.11 19 Sep 2023 mcrypt: N LANG:  WP Proxy: disabled ZipArchive::addFile: N
0000.026 (0) Free space on disk containing Updraft's temporary directory: 21001.6 MB
0000.032 (0) Tasks: Backup files: 1 (schedule: unset) Backup DB: 1 (schedule: unset)
0000.037 (0) Semaphore (fd, wp_options) being initialised
0000.048 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.063 (0) Set semaphore last lock (fd) time to 2025-11-23 08:14:36
0000.068 (0) Semaphore lock (fd) complete
0000.082 (0) Backup run: resumption=0, nonce=e689ee98beb1, file_nonce=e689ee98beb1 begun at=1763885675 (1s ago), job type=backup
0000.089 (0) Scheduling a resumption (1) after 300 seconds (1763885976) in case this run gets aborted
0000.104 (0) Checking if we have a zip executable available
0000.112 (0) Zip engine: ZipArchive (a.k.a. php-zip) is not available or is disabled (will use PclZip (much slower) if needed)
0000.116 (0) Creation of backups of directories: beginning
0000.129 (0) Beginning creation of dump of plugins (split every: 400 MB)
0012.075 (0) Total entities for the zip file: 3239 directories, 20231 files (0 skipped as non-modified), 223.3 MB
0012.081 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 228610.7 KB, split: 409600 KB)
0012.139 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 100 files added (on-disk size: 0 KB)
0012.191 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 200 files added (on-disk size: 0 KB)
0012.225 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 300 files added (on-disk size: 0 KB)
0012.260 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 400 files added (on-disk size: 0 KB)
0012.292 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 500 files added (on-disk size: 0 KB)
0012.323 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 600 files added (on-disk size: 0 KB)
0012.356 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 700 files added (on-disk size: 0 KB)
0012.400 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 800 files added (on-disk size: 0 KB)
0012.430 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 900 files added (on-disk size: 0 KB)
0012.465 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 1000 files added (on-disk size: 0 KB)
0012.503 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 1100 files added (on-disk size: 0 KB)
0012.544 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 1200 files added (on-disk size: 0 KB)
0012.583 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 1300 files added (on-disk size: 0 KB)
